Location,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
"Flint, MI",75.1,34.5,15.2,5.8,69.3,4.4,57.4,11.7,22.9,20.0,8.9,13.7,29.7,50.8,16.6,17.7,41.0,40.5,83.4,18.4,45.0,84.1,19.9,35.3,48.7,5.7,76.2,25.4
"Reading, PA",66.9,28.2,15.6,4.9,62.5,3.9,51.1,9.0,27.6,24.3,7.7,11.7,24.2,46.2,14.8,25.1,33.8,37.2,75.9,18.3,41.2,79.5,18.7,38.6,45.3,4.4,74.4,31.6
"Camden, NJ",76.4,24.7,12.7,4.0,66.1,3.8,45.2,8.6,21.1,17.5,7.1,11.1,26.0,43.1,15.6,28.5,37.1,35.6,79.6,18.3,42.9,84.2,19.0,46.7,49.8,4.5,74.6,28.7
"New Bedford, MA",78.1,31.0,15.9,7.0,74.1,3.5,66.0,10.4,30.8,22.7,8.1,13.0,26.6,57.6,11.8,12.9,34.5,39.4,82.5,18.3,31.6,82.9,16.9,31.3,40.3,4.2,78.3,26.7
"Fall River, MA",78.0,31.3,16.4,7.1,74.8,3.4,66.6,10.6,31.4,22.9,8.1,13.0,27.2,58.6,11.2,11.2,34.3,39.6,82.5,18.2,30.6,82.5,16.5,30.6,39.7,4.1,78.6,27.0
"Detroit, MI",77.2,33.7,14.8,5.8,71.7,4.7,58.5,11.3,20.8,21.5,8.5,14.0,28.3,50.7,17.7,19.5,46.6,39.9,83.9,18.0,47.0,85.5,19.3,35.7,49.8,6.4,78.7,25.9
"Dayton, OH",75.4,32.0,14.1,5.8,68.5,3.8,55.5,10.6,31.0,23.7,8.0,11.6,28.0,51.3,15.2,13.8,40.8,38.5,81.9,17.1,42.3,82.3,17.0,35.9,44.7,5.0,79.5,28.2
"Springfield, MA",78.5,27.5,16.3,5.5,71.3,3.5,59.6,8.2,27.0,25.2,7.4,12.7,23.5,58.7,13.3,15.9,31.7,36.0,83.3,17.1,36.2,84.3,16.5,34.5,38.9,4.0,75.8,26.0
"Trenton, NJ",76.7,23.9,14.4,4.6,68.4,3.5,53.9,8.5,23.0,20.9,6.7,10.8,23.8,52.8,13.7,25.4,35.4,36.0,79.7,17.0,38.9,84.9,17.8,42.2,45.7,4.4,74.4,26.1
"Canton, OH",75.4,31.4,15.7,6.5,70.9,3.7,56.3,10.5,32.8,23.4,8.3,11.3,27.9,57.5,14.2,13.0,36.8,36.4,76.1,16.9,40.1,82.3,17.0,35.6,42.0,4.6,79.6,23.2
