index,Richmond,Alexandria,Washington,Baltimore,Baltimore (High),Baltimore (Low),Richmond (High),Richmond (Low),Washington (High),Washington (Low),Alexandria (High),Alexandria (Low)
0,1.0,1.0,1.0,1.0,0.952,0.95,0.957,0.969,0.936,0.937,0.919,0.975
1,0.966,0.966,0.952,0.957,0.95,0.948,0.957,0.968,0.933,0.933,0.907,0.975
2,0.964,0.962,0.939,0.955,0.949,0.947,0.95,0.962,0.933,0.932,0.906,0.952
3,0.964,0.959,0.936,0.953,0.949,0.942,0.949,0.962,0.932,0.931,0.903,0.951
4,0.96,0.956,0.936,0.95,0.948,0.942,0.945,0.96,0.931,0.929,0.902,0.951
5,0.956,0.955,0.932,0.95,0.947,0.94,0.945,0.96,0.93,0.929,0.901,0.951
6,0.956,0.954,0.931,0.948,0.942,0.94,0.944,0.96,0.928,0.929,0.901,0.95
7,0.956,0.953,0.93,0.946,0.941,0.939,0.944,0.959,0.928,0.929,0.899,0.95
8,0.954,0.952,0.929,0.945,0.941,0.939,0.943,0.959,0.928,0.927,0.898,0.948
9,0.954,0.947,0.929,0.945,0.94,0.938,0.942,0.958,0.928,0.925,0.895,0.947
10,0.953,0.946,0.929,0.945,0.94,0.938,0.941,0.957,0.927,0.925,0.895,0.946
11,0.953,0.946,0.928,0.945,0.939,0.937,0.941,0.957,0.926,0.925,0.894,0.946
12,0.952,0.946,0.928,0.944,0.939,0.937,0.941,0.957,0.925,0.924,0.893,0.945
13,0.951,0.945,0.927,0.944,0.937,0.937,0.94,0.957,0.923,0.923,0.893,0.945
14,0.951,0.945,0.925,0.944,0.937,0.937,0.939,0.957,0.922,0.923,0.892,0.945
15,0.951,0.945,0.924,0.943,0.936,0.937,0.939,0.957,0.922,0.922,0.891,0.944
16,0.951,0.944,0.924,0.943,0.935,0.936,0.939,0.955,0.922,0.922,0.89,0.944
17,0.951,0.944,0.922,0.941,0.934,0.936,0.938,0.954,0.921,0.921,0.889,0.944
18,0.951,0.944,0.922,0.938,0.933,0.936,0.938,0.953,0.921,0.921,0.888,0.944
