City,State,Latitude,Longitude,Population,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
Washington,DC,38.958501286,-76.9977710356,1489,85.6,27.1,17.3,7.0,82.7,4.0,68.1,6.9,26.5,24.8,6.9,11.1,17.3,71.3,14.8,9.4,42.2,36.9,82.0,10.7,30.6,87.9,11.7,23.0,40.3,5.2,83.0,18.3
Baltimore,MD,39.3002032067,-76.5928469244,1241,80.6,35.3,10.2,5.9,70.6,5.6,56.4,12.0,23.9,23.7,10.1,15.9,28.2,37.0,22.2,19.3,51.2,41.7,83.9,18.6,45.2,,19.1,42.3,48.5,8.3,82.1,35.8
Baltimore,MD,39.3103186758,-76.7016378101,4101,79.5,25.0,15.6,4.9,76.2,3.1,67.0,6.1,33.1,33.1,5.1,12.8,20.5,56.2,12.6,11.5,38.6,32.5,85.8,13.5,37.8,,11.1,26.9,45.4,3.7,77.1,16.7
Washington,DC,38.9254739149,-77.0439600633,4474,73.7,11.4,31.3,3.8,80.6,1.5,72.9,2.6,37.3,34.0,2.3,8.2,11.5,85.1,4.2,4.2,16.2,24.2,82.2,8.3,18.1,89.0,5.2,9.2,30.5,1.2,64.7,5.2
Baltimore,MD,39.3249389638,-76.6012005226,1964,78.7,25.7,16.4,4.9,76.6,3.0,65.1,6.4,31.8,33.4,5.4,12.7,22.3,55.5,13.2,12.2,39.9,33.9,84.9,13.7,37.6,,11.6,28.3,45.8,3.7,78.2,17.6
Baltimore,MD,39.3644237758,-76.5628240004,2333,77.1,25.1,17.2,5.1,76.6,2.9,64.8,6.5,36.6,34.8,5.5,12.4,22.0,57.1,11.6,11.7,36.4,33.5,84.2,13.8,35.7,,11.5,26.7,43.9,3.4,76.0,15.8
Richmond,VA,37.5120759365,-77.4400540875,2078,78.6,28.7,13.3,5.3,74.8,4.2,57.6,8.7,23.0,27.6,7.7,11.4,25.9,50.9,18.7,21.5,47.8,38.8,84.6,15.2,43.2,84.9,16.5,35.7,45.9,5.8,82.2,27.2
Washington,DC,38.8751274055,-77.0008856064,2794,73.5,11.2,31.7,3.4,75.4,1.7,72.3,2.8,30.6,29.4,2.3,8.5,14.1,80.8,4.7,5.4,18.3,23.1,83.5,9.2,19.9,88.5,5.6,10.8,33.2,1.5,64.8,8.9
Baltimore,MD,39.3279849587,-76.6118803348,2033,70.2,18.3,22.1,4.5,74.8,2.0,69.1,4.4,43.9,40.5,3.8,9.8,15.8,68.1,6.5,7.6,23.3,28.4,83.0,11.2,25.1,,7.7,17.7,35.9,1.9,70.2,9.4
Baltimore,MD,39.3686909137,-76.5542536271,2898,74.9,24.8,19.5,6.3,80.1,2.6,68.9,5.8,44.0,39.8,5.6,10.4,17.8,66.6,9.2,8.6,32.2,33.9,82.4,11.5,29.6,,9.7,21.5,38.0,2.8,76.4,11.4
Washington,DC,38.9058868044,-77.0243932088,2690,72.6,12.4,27.6,3.0,73.1,2.0,61.5,4.2,29.5,27.1,2.8,9.6,19.6,71.9,5.7,9.1,19.0,25.1,81.3,12.0,23.8,87.0,8.2,15.9,36.2,1.9,61.6,14.0
Washington,DC,38.8771309137,-76.987125306,2911,77.4,18.3,22.2,4.0,76.3,2.9,61.6,5.9,24.7,22.6,4.2,11.0,21.6,67.9,9.5,8.6,27.4,29.5,83.0,13.2,29.5,88.2,10.6,19.8,39.5,3.3,71.6,18.1
Baltimore,MD,39.3556337624,-76.682150803,3773,81.7,33.3,13.3,7.4,82.6,4.1,69.3,7.8,34.4,33.4,8.2,12.1,18.6,58.3,17.0,10.4,47.0,39.5,85.2,12.0,37.1,,12.8,29.0,42.4,5.2,84.1,16.6
Alexandria,VA,38.8407594949,-77.0631627995,7165,63.5,14.4,18.9,2.6,63.6,2.3,55.7,4.7,29.7,28.8,3.4,9.0,21.2,50.2,8.0,29.8,23.1,28.0,81.3,14.8,31.2,83.8,12.1,27.5,36.2,2.0,61.6,21.2
Washington,DC,38.9287750097,-76.9989366771,1976,77.6,14.2,25.1,3.6,69.6,2.2,66.1,4.2,31.0,25.9,3.6,10.4,16.1,75.5,7.2,7.3,24.1,27.8,82.3,11.6,22.9,87.2,7.7,15.5,35.3,2.3,71.2,14.2
Washington,DC,38.8660433011,-76.9752566331,3447,84.0,25.5,17.4,5.1,78.1,3.9,60.9,8.1,22.4,21.6,6.3,12.5,25.2,61.7,15.5,10.8,41.4,36.3,82.9,14.2,36.7,87.2,14.0,26.7,45.3,5.2,79.0,24.2
Baltimore,MD,39.3691995135,-76.5912472592,4051,79.4,26.4,15.9,5.2,78.9,3.1,65.7,6.4,34.7,34.2,5.5,12.5,21.5,56.5,13.1,11.4,39.4,33.6,85.3,13.4,38.1,,11.6,27.8,45.6,3.7,78.2,16.1
Baltimore,MD,39.2790306987,-76.5814673629,2870,69.2,15.9,26.4,4.9,79.6,1.6,75.8,3.1,48.9,46.3,3.3,8.6,12.4,76.9,4.7,5.5,20.0,26.5,83.2,8.9,21.1,,5.6,12.8,32.2,1.4,68.6,5.6
Alexandria,VA,38.8079968936,-77.042893431,1992,74.7,25.8,15.9,7.3,85.7,2.7,72.9,5.4,44.6,41.0,5.8,8.5,12.5,73.4,9.3,8.4,32.8,37.2,82.4,9.7,26.1,87.2,10.1,17.3,29.6,2.7,80.1,8.7
Washington,DC,38.965304177,-77.0706092225,3078,78.9,18.1,25.4,6.7,87.1,2.0,75.2,3.6,42.7,37.5,3.9,7.9,9.4,88.1,5.8,3.1,23.0,33.0,80.7,7.1,17.6,88.2,6.1,9.7,28.4,1.8,74.7,4.4
Washington,DC,38.8861967598,-76.9475351599,5187,82.5,27.2,15.7,4.6,71.2,4.7,51.9,10.8,18.4,17.4,7.3,14.6,32.2,49.4,17.4,15.8,43.3,37.8,81.4,18.6,40.6,86.2,18.1,34.1,48.3,6.7,77.6,36.7
Washington,DC,38.8715102905,-76.9799978917,4355,84.3,26.5,17.1,5.5,79.0,4.1,61.3,8.4,23.3,21.8,6.9,12.3,24.5,62.3,16.0,10.7,42.8,37.3,82.4,13.8,36.1,87.3,14.1,26.7,44.7,5.5,80.0,24.2
Baltimore,MD,39.3366686266,-76.6316577105,5192,75.7,28.9,17.7,9.3,83.7,3.1,73.8,5.8,45.8,39.3,7.4,9.2,13.0,72.2,9.2,7.0,33.3,36.1,81.2,9.2,22.6,,8.9,19.9,31.6,3.4,81.7,9.7
Baltimore,MD,39.3369666969,-76.6036978387,4251,80.0,28.7,15.2,5.7,78.0,3.5,66.5,7.2,31.4,32.8,6.4,12.9,22.1,54.6,15.0,12.4,43.8,36.2,85.0,13.6,38.6,,12.5,29.5,45.7,4.4,80.4,18.7
Baltimore,MD,39.2974130857,-76.6305876494,2011,81.5,32.6,12.0,6.1,74.9,4.7,62.1,9.2,27.8,27.8,8.3,14.2,23.9,46.0,19.1,15.1,49.2,39.2,84.4,15.5,42.7,,15.4,35.8,47.5,6.3,82.1,25.8
Washington,DC,38.9207358889,-77.0465415653,3745,74.2,12.8,30.9,4.6,82.4,1.6,74.5,2.8,41.8,36.6,2.7,7.9,10.7,86.6,4.1,3.6,16.8,26.3,80.8,7.8,17.3,89.2,5.2,8.7,29.2,1.3,66.3,4.5
